,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_PKG_all,RAPL_ENERGY_DRAM_all,Machine,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax,RAPL_ENERGY_PKG_BOTH
135,normal_test_LU_B_32_1,67.48309326171875,141.96991729736328,1125.1873779296875,1258.2995910644531,2019-08-05 09:24:28.507,2019-08-05 09:24:38.515,1,2592.9399795532227,5185.879959106445,Dahu18,10.008,235.72181632302025,normal,test,LU,B,32,normal,2383.4869689941406
171,normal_test_LU_B_32_2,132.07271575927734,76.8107681274414,1250.2367248535156,1060.7964782714844,2019-08-05 09:24:41.520,2019-08-05 09:24:51.529,2,2519.9166870117188,5039.8333740234375,Dahu18,10.009,229.08333518288353,normal,test,LU,B,32,normal,2311.033203125
208,normal_test_LU_B_32_3,132.250244140625,73.07796478271484,1249.9825744628906,1024.1286926269531,2019-08-05 09:24:54.533,2019-08-05 09:25:04.543,3,2479.4394760131836,4958.878952026367,Dahu18,10.01,225.40358872847125,normal,test,LU,B,32,normal,2274.1112670898438
248,normal_test_LU_B_32_4,67.23286437988281,140.27574157714844,1161.5292053222656,1259.0990905761719,2019-08-05 09:25:08.552,2019-08-05 09:25:18.561,4,2628.1369018554688,5256.2738037109375,Dahu18,10.009,238.92153653231534,normal,test,LU,B,32,normal,2420.6282958984375
284,normal_test_LU_B_32_5,131.29305267333984,78.92556762695312,1249.485595703125,1088.1322326660156,2019-08-05 09:25:21.565,2019-08-05 09:25:31.575,5,2547.8364486694336,5095.672897338867,Dahu18,10.01,231.62149533358487,normal,test,LU,B,32,normal,2337.6178283691406
324,normal_test_LU_B_32_6,67.83972930908203,142.55500030517578,1185.8513488769531,1255.5653381347656,2019-08-05 09:25:35.581,2019-08-05 09:25:45.591,6,2651.8114166259766,5303.622833251953,Dahu18,10.01,241.07376514781606,normal,test,LU,B,32,normal,2441.4166870117188
360,normal_test_LU_B_32_7,135.39376068115234,76.71184539794922,1261.0426940917969,1098.765869140625,2019-08-05 09:25:48.596,2019-08-05 09:25:58.604,7,2571.9141693115234,5143.828338623047,Dahu18,10.008,233.8103790283203,normal,test,LU,B,32,normal,2359.808563232422
398,normal_test_LU_B_32_8,68.31683349609375,141.74932098388672,1164.2333374023438,1259.9336242675781,2019-08-05 09:26:01.609,2019-08-05 09:26:11.616,8,2634.2331161499023,5268.466232299805,Dahu18,10.007,239.4757378318093,normal,test,LU,B,32,normal,2424.166961669922
434,normal_test_LU_B_32_9,133.68885803222656,77.12063598632812,1257.0845642089844,1068.14453125,2019-08-05 09:26:14.621,2019-08-05 09:26:24.630,9,2536.038589477539,5072.077178955078,Dahu18,10.009,230.54896267977628,normal,test,LU,B,32,normal,2325.2290954589844
472,normal_test_LU_B_32_10,70.94647216796875,137.58374786376953,1139.2077331542969,1243.5452575683594,2019-08-05 09:26:27.634,2019-08-05 09:26:37.642,10,2591.2832107543945,5182.566421508789,Dahu18,10.008,235.57120097767222,normal,test,LU,B,32,normal,2382.7529907226562
511,normal_test_LU_B_32_11,64.94451141357422,126.37013244628906,1085.6940307617188,1133.5928649902344,2019-08-05 09:26:41.648,2019-08-05 09:26:50.658,11,2410.6015396118164,4821.203079223633,Dahu18,9.01,241.06015396118164,normal,test,LU,B,32,normal,2219.286895751953
546,normal_test_LU_B_32_12,136.79032135009766,74.31671142578125,1263.6094360351562,1077.9107971191406,2019-08-05 09:26:54.664,2019-08-05 09:27:04.672,12,2552.627265930176,5105.254531860352,Dahu18,10.008,232.05702417547053,normal,test,LU,B,32,normal,2341.520233154297
583,normal_test_LU_B_32_13,135.65847778320312,73.86333465576172,1260.7301330566406,1065.8315124511719,2019-08-05 09:27:07.677,2019-08-05 09:27:17.689,13,2536.0834579467773,5072.166915893555,Dahu18,10.012,230.55304163152522,normal,test,LU,B,32,normal,2326.5616455078125
620,normal_test_LU_B_32_14,68.60990905761719,138.29053497314453,1158.8496704101562,1245.8736572265625,2019-08-05 09:27:20.693,2019-08-05 09:27:30.706,14,2611.6237716674805,5223.247543334961,Dahu18,10.013,237.42034287886187,normal,test,LU,B,32,normal,2404.7233276367188
659,normal_test_LU_B_32_15,134.73573303222656,74.46953582763672,1262.3728637695312,1078.6256103515625,2019-08-05 09:27:34.710,2019-08-05 09:27:44.720,15,2550.203742980957,5100.407485961914,Dahu18,10.01,231.83670390735972,normal,test,LU,B,32,normal,2340.9984741210938
696,normal_test_LU_B_32_16,132.14946746826172,79.281005859375,1254.3890075683594,1090.5120849609375,2019-08-05 09:27:47.724,2019-08-05 09:27:57.733,16,2556.3315658569336,5112.663131713867,Dahu18,10.009,232.3937787142667,normal,test,LU,B,32,normal,2344.901092529297
733,normal_test_LU_B_32_17,134.02627563476562,73.43228149414062,1254.1100463867188,998.0413818359375,2019-08-05 09:28:00.737,2019-08-05 09:28:10.748,17,2459.6099853515625,4919.219970703125,Dahu18,10.011,223.60090775923297,normal,test,LU,B,32,normal,2252.1514282226562
773,normal_test_LU_B_32_18,67.99197387695312,126.14535522460938,1103.0242614746094,1135.6866455078125,2019-08-05 09:28:14.759,2019-08-05 09:28:23.768,18,2432.8482360839844,4865.696472167969,Dahu18,9.009,243.28482360839843,normal,test,LU,B,32,normal,2238.710906982422
806,normal_test_LU_B_32_19,74.25138854980469,136.97692108154297,1197.5972595214844,1238.7095642089844,2019-08-05 09:28:26.773,2019-08-05 09:28:36.782,19,2647.5351333618164,5295.070266723633,Dahu18,10.009,240.6850121238015,normal,test,LU,B,32,normal,2436.3068237304688
844,normal_test_LU_B_32_20,75.21183013916016,153.8110580444336,1294.0329284667969,1360.8578491210938,2019-08-05 09:28:39.787,2019-08-05 09:28:50.797,20,2883.9136657714844,5767.827331542969,Dahu18,11.01,240.32613881429037,normal,test,LU,B,32,normal,2654.8907775878906
884,normal_test_UL_A_1_1,315.47582244873047,685.0053405761719,5291.829254150391,5369.886322021484,2019-08-05 09:28:53.801,2019-08-05 09:30:24.867,1,11662.196739196777,23324.393478393555,Dahu18,91.066,126.76300803474759,normal,test,UL,A,1,normal,10661.715576171875
1164,normal_test_UL_A_1_2,611.838737487793,345.46715545654297,5908.501373291016,4200.089263916016,2019-08-05 09:30:27.873,2019-08-05 09:31:54.941,2,11065.896530151367,22131.793060302734,Dahu18,87.068,125.74882420626554,normal,test,UL,A,1,normal,10108.590637207031
1432,normal_test_UL_A_1_3,688.189094543457,388.65240478515625,6727.736602783203,4837.087310791016,2019-08-05 09:31:57.946,2019-08-05 09:33:36.021,3,12641.665412902832,25283.330825805664,Dahu18,98.075,127.69359002932154,normal,test,UL,A,1,normal,11564.823913574219
1735,normal_test_UL_A_1_4,617.9354782104492,349.6994934082031,6028.2269287109375,4226.940673828125,2019-08-05 09:33:40.026,2019-08-05 09:35:08.094,4,11222.802574157715,22445.60514831543,Dahu18,88.068,126.09890532761477,normal,test,UL,A,1,normal,10255.167602539062
2006,normal_test_UL_A_1_5,316.3056945800781,698.7665786743164,5277.6751708984375,5433.6539306640625,2019-08-05 09:35:11.099,2019-08-05 09:36:44.166,5,11726.401374816895,23452.80274963379,Dahu18,93.067,124.74895079592442,normal,test,UL,A,1,normal,10711.3291015625
2291,normal_test_UL_A_1_6,638.638313293457,360.32061767578125,6205.9588623046875,4396.607574462891,2019-08-05 09:36:47.171,2019-08-05 09:38:18.239,6,11601.525367736816,23203.050735473633,Dahu18,91.068,126.10353660583496,normal,test,UL,A,1,normal,10602.566436767578
2571,normal_test_UL_A_1_7,652.4421005249023,368.75875091552734,6358.737365722656,4514.6910400390625,2019-08-05 09:38:21.244,2019-08-05 09:39:54.310,7,11894.629257202148,23789.258514404297,Dahu18,93.066,126.5386091191718,normal,test,UL,A,1,normal,10873.428405761719
2860,normal_test_UL_A_1_8,632.2113952636719,356.25975799560547,6135.965667724609,4316.076629638672,2019-08-05 09:39:58.316,2019-08-05 09:41:28.383,8,11440.513450622559,22881.026901245117,Dahu18,90.067,125.71992802881933,normal,test,UL,A,1,normal,10452.042297363281
3137,normal_test_UL_A_1_9,326.2493896484375,721.1381378173828,5507.331146240234,5639.241058349609,2019-08-05 09:41:31.389,2019-08-05 09:43:07.456,9,12193.959732055664,24387.919464111328,Dahu18,96.067,125.7109250727388,normal,test,UL,A,1,normal,11146.572204589844
3431,normal_test_UL_A_1_10,309.3736877441406,685.5323257446289,5144.561492919922,5368.496551513672,2019-08-05 09:43:10.461,2019-08-05 09:44:41.525,10,11507.964057922363,23015.928115844727,Dahu18,91.064,125.08656584698221,normal,test,UL,A,1,normal,10513.058044433594
3714,normal_test_UL_A_1_11,296.3582305908203,656.3798828125,4853.563293457031,5137.915740966797,2019-08-05 09:44:45.531,2019-08-05 09:46:12.596,11,10944.217147827148,21888.434295654297,Dahu18,87.065,124.36610395258123,normal,test,UL,A,1,normal,9991.479034423828
3981,normal_test_UL_A_1_12,617.9678497314453,349.4617614746094,5972.481262207031,4223.420562744141,2019-08-05 09:46:15.601,2019-08-05 09:47:43.665,12,11163.331436157227,22326.662872314453,Dahu18,88.064,125.43069029390142,normal,test,UL,A,1,normal,10195.901824951172
4253,normal_test_UL_A_1_13,611.4632873535156,343.0767822265625,5924.212738037109,4179.395172119141,2019-08-05 09:47:46.670,2019-08-05 09:49:13.737,13,11058.147979736328,22116.295959472656,Dahu18,87.067,125.66077249700373,normal,test,UL,A,1,normal,10103.60791015625
4521,normal_test_UL_A_1_14,315.5468978881836,697.6121826171875,5115.466461181641,5449.332214355469,2019-08-05 09:49:16.742,2019-08-05 09:50:49.810,14,11577.95775604248,23155.91551208496,Dahu18,93.068,123.16976336215404,normal,test,UL,A,1,normal,10564.79867553711
4806,normal_test_UL_A_1_15,621.7823181152344,350.96183013916016,5932.3291015625,4269.963562011719,2019-08-05 09:50:52.815,2019-08-05 09:52:21.881,15,11175.036811828613,22350.073623657227,Dahu18,89.066,124.16707568698459,normal,test,UL,A,1,normal,10202.292663574219
5081,normal_test_UL_A_1_16,662.4281387329102,373.0166549682617,6421.629913330078,4618.00634765625,2019-08-05 09:52:24.886,2019-08-05 09:53:59.953,16,12075.0810546875,24150.162109375,Dahu18,95.067,125.78209431966145,normal,test,UL,A,1,normal,11039.636260986328
5373,normal_test_UL_A_1_17,304.9353485107422,675.7729339599609,4989.629333496094,5282.621795654297,2019-08-05 09:54:02.959,2019-08-05 09:55:33.025,17,11252.959411621094,22505.918823242188,Dahu18,90.066,123.65889463319883,normal,test,UL,A,1,normal,10272.25112915039
5650,normal_test_UL_A_1_18,636.7614822387695,359.87796783447266,6172.7957763671875,4407.03662109375,2019-08-05 09:55:36.031,2019-08-05 09:57:07.096,18,11576.47184753418,23152.94369506836,Dahu18,91.065,125.83121573406717,normal,test,UL,A,1,normal,10579.832397460938
5932,normal_test_UL_A_1_19,311.79869842529297,691.1842269897461,5191.684600830078,5392.358734130859,2019-08-05 09:57:11.102,2019-08-05 09:58:43.168,19,11587.026260375977,23174.052520751953,Dahu18,92.066,124.59168021909652,normal,test,UL,A,1,normal,10584.043334960938
6215,normal_test_UL_A_1_20,311.6369400024414,692.6741104125977,5126.070495605469,5386.683502197266,2019-08-05 09:58:46.173,2019-08-05 10:00:18.240,20,11517.065048217773,23034.130096435547,Dahu18,92.067,123.83940912062123,normal,test,UL,A,1,normal,10512.753997802734
6548,optimized_test_LU_B_32_1,153.0355224609375,48.699371337890625,1513.4834899902344,528.0613403320312,2019-08-05 10:05:58.363,2019-08-05 10:06:10.371,1,2243.2797241210938,4486.5594482421875,Dahu18,12.008,172.55997877854568,optimized,test,LU,B,32,optimized,2041.5448303222656
6591,optimized_test_LU_B_32_2,164.3518524169922,53.029449462890625,1621.8628234863281,564.7289428710938,2019-08-05 10:06:13.376,2019-08-05 10:06:26.384,2,2403.9730682373047,4807.946136474609,Dahu18,13.008,171.71236201695032,optimized,test,LU,B,32,optimized,2186.591766357422
6638,optimized_test_LU_B_32_3,154.1387939453125,48.767417907714844,1509.5908203125,518.045166015625,2019-08-05 10:06:29.388,2019-08-05 10:06:41.395,3,2230.5421981811523,4461.084396362305,Dahu18,12.007,171.58016909085788,optimized,test,LU,B,32,optimized,2027.635986328125
6682,optimized_test_LU_B_32_4,154.6832504272461,48.79486083984375,1509.6408081054688,512.8353271484375,2019-08-05 10:06:45.400,2019-08-05 10:06:57.407,4,2225.954246520996,4451.908493041992,Dahu18,12.007,171.2272497323843,optimized,test,LU,B,32,optimized,2022.4761352539062
6726,optimized_test_LU_B_32_5,166.0988998413086,53.54467010498047,1627.7276916503906,557.4164428710938,2019-08-05 10:07:00.412,2019-08-05 10:07:13.428,5,2404.7877044677734,4809.575408935547,Dahu18,13.016,171.77055031912667,optimized,test,LU,B,32,optimized,2185.1441345214844
6771,optimized_test_LU_B_32_6,154.41278076171875,49.292320251464844,1511.2901000976562,516.4981689453125,2019-08-05 10:07:16.432,2019-08-05 10:07:28.440,6,2231.4933700561523,4462.986740112305,Dahu18,12.008,171.65333615816556,optimized,test,LU,B,32,optimized,2027.7882690429688
6816,optimized_test_LU_B_32_7,154.99292755126953,48.79216766357422,1509.9529724121094,510.31982421875,2019-08-05 10:07:32.445,2019-08-05 10:07:44.452,7,2224.057891845703,4448.115783691406,Dahu18,12.007,171.0813762958233,optimized,test,LU,B,32,optimized,2020.2727966308594
6859,optimized_test_LU_B_32_8,166.15838623046875,52.770904541015625,1626.4941711425781,553.8797912597656,2019-08-05 10:07:47.457,2019-08-05 10:08:00.469,8,2399.303253173828,4798.606506347656,Dahu18,13.012,171.37880379813058,optimized,test,LU,B,32,optimized,2180.3739624023438
6905,optimized_test_LU_B_32_9,155.1790771484375,48.63154602050781,1512.3826599121094,513.6139831542969,2019-08-05 10:08:03.474,2019-08-05 10:08:15.482,9,2229.8072662353516,4459.614532470703,Dahu18,12.008,171.5236358642578,optimized,test,LU,B,32,optimized,2025.9966430664062
6950,optimized_test_LU_B_32_10,155.49072265625,48.892616271972656,1510.1753540039062,510.8658142089844,2019-08-05 10:08:19.486,2019-08-05 10:08:31.494,10,2225.4245071411133,4450.849014282227,Dahu18,12.008,171.1865005493164,optimized,test,LU,B,32,optimized,2021.0411682128906
6993,optimized_test_LU_B_32_11,167.0561065673828,52.787757873535156,1629.5219421386719,554.9403991699219,2019-08-05 10:08:34.498,2019-08-05 10:08:47.514,11,2404.3062057495117,4808.612411499023,Dahu18,13.016,171.73615755353654,optimized,test,LU,B,32,optimized,2184.4623413085938
7039,optimized_test_LU_B_32_12,155.27273559570312,48.81664276123047,1512.4125061035156,510.44830322265625,2019-08-05 10:08:50.518,2019-08-05 10:09:02.525,12,2226.9501876831055,4453.900375366211,Dahu18,12.007,171.30386059100812,optimized,test,LU,B,32,optimized,2022.8608093261719
7084,optimized_test_LU_B_32_13,155.58470153808594,49.048927307128906,1509.6242065429688,501.21160888671875,2019-08-05 10:09:06.529,2019-08-05 10:09:18.537,13,2215.4694442749023,4430.938888549805,Dahu18,12.008,170.42072648268478,optimized,test,LU,B,32,optimized,2010.8358154296875
7127,optimized_test_LU_B_32_14,166.27947235107422,52.887672424316406,1624.2166442871094,549.3996276855469,2019-08-05 10:09:21.541,2019-08-05 10:09:34.549,14,2392.783416748047,4785.566833496094,Dahu18,13.008,170.91310119628906,optimized,test,LU,B,32,optimized,2173.6162719726562
7173,optimized_test_LU_B_32_15,167.43465423583984,53.20317840576172,1630.4270629882812,543.1154479980469,2019-08-05 10:09:37.554,2019-08-05 10:09:50.565,15,2394.1803436279297,4788.360687255859,Dahu18,13.011,171.01288168770927,optimized,test,LU,B,32,optimized,2173.542510986328
7219,optimized_test_LU_B_32_16,155.6680679321289,49.18750762939453,1512.6215209960938,499.0928039550781,2019-08-05 10:09:53.569,2019-08-05 10:10:05.576,16,2216.5699005126953,4433.139801025391,Dahu18,12.007,170.50537696251502,optimized,test,LU,B,32,optimized,2011.7143249511719
7264,optimized_test_LU_B_32_17,155.87843322753906,49.07628631591797,1510.4575500488281,497.9225158691406,2019-08-05 10:10:09.582,2019-08-05 10:10:21.589,17,2213.334785461426,4426.669570922852,Dahu18,12.007,170.25652195857123,optimized,test,LU,B,32,optimized,2008.3800659179688
7308,optimized_test_LU_B_32_18,167.14425659179688,53.340187072753906,1622.9288330078125,538.97900390625,2019-08-05 10:10:24.594,2019-08-05 10:10:37.604,18,2382.3922805786133,4764.784561157227,Dahu18,13.01,170.17087718418665,optimized,test,LU,B,32,optimized,2161.9078369140625
7353,optimized_test_LU_B_32_19,167.58424377441406,53.09404754638672,1631.4693603515625,538.6649780273438,2019-08-05 10:10:40.609,2019-08-05 10:10:53.621,19,2390.812629699707,4781.625259399414,Dahu18,13.012,170.77233069283622,optimized,test,LU,B,32,optimized,2170.1343383789062
7400,optimized_test_LU_B_32_20,168.19723510742188,53.21492004394531,1632.2010498046875,541.0677490234375,2019-08-05 10:10:56.626,2019-08-05 10:11:09.634,20,2394.680953979492,4789.361907958984,Dahu18,13.008,171.04863956996374,optimized,test,LU,B,32,optimized,2173.268798828125
7446,optimized_test_UL_A_1_1,1034.3685836791992,595.4550628662109,10919.437072753906,7603.15625,2019-08-05 10:11:12.638,2019-08-05 10:13:39.730,1,20152.416969299316,40304.83393859863,Dahu18,147.092,136.16497952229267,optimized,test,UL,A,1,optimized,18522.593322753906
7894,optimized_test_UL_A_1_2,1029.2008209228516,597.3074722290039,10605.034393310547,7722.332794189453,2019-08-05 10:13:42.734,2019-08-05 10:16:09.842,2,19953.875480651855,39907.75096130371,Dahu18,147.108,134.8234829773774,optimized,test,UL,A,1,optimized,18327.3671875
8344,optimized_test_UL_A_1_3,1026.1513748168945,599.4160766601562,10513.315643310547,7750.112609863281,2019-08-05 10:16:13.846,2019-08-05 10:18:40.935,3,19888.99570465088,39777.99140930176,Dahu18,147.089,134.38510611250595,optimized,test,UL,A,1,optimized,18263.428253173828
8791,optimized_test_UL_A_1_4,1023.7756881713867,599.2691268920898,10498.032989501953,7756.95654296875,2019-08-05 10:18:43.939,2019-08-05 10:21:11.030,4,19878.03434753418,39756.06869506836,Dahu18,147.091,134.31104288874445,optimized,test,UL,A,1,optimized,18254.989532470703
9240,optimized_test_UL_A_1_5,1025.3295822143555,599.9137954711914,10483.434539794922,7754.559783935547,2019-08-05 10:21:14.034,2019-08-05 10:23:41.112,5,19863.237701416016,39726.47540283203,Dahu18,147.078,134.2110655501082,optimized,test,UL,A,1,optimized,18237.99432373047
9689,optimized_test_UL_A_1_6,1025.4700393676758,599.3111190795898,10488.750366210938,7754.3790283203125,2019-08-05 10:23:45.116,2019-08-05 10:26:12.206,6,19867.910552978516,39735.82110595703,Dahu18,147.09,134.24263887147646,optimized,test,UL,A,1,optimized,18243.12939453125
10137,optimized_test_UL_A_1_7,1025.6768264770508,599.2867736816406,10505.324310302734,7762.753662109375,2019-08-05 10:26:15.210,2019-08-05 10:28:42.287,7,19893.0415725708,39786.0831451416,Dahu18,147.077,134.41244305791082,optimized,test,UL,A,1,optimized,18268.07797241211
10585,optimized_test_UL_A_1_8,1032.2376174926758,604.2494125366211,10581.465515136719,7815.368438720703,2019-08-05 10:28:45.291,2019-08-05 10:31:13.383,8,20033.32098388672,40066.64196777344,Dahu18,148.092,134.45181868380348,optimized,test,UL,A,1,optimized,18396.833953857422
11037,optimized_test_UL_A_1_9,1025.9104690551758,597.933219909668,10503.811706542969,7766.450012207031,2019-08-05 10:31:16.387,2019-08-05 10:33:43.479,9,19894.105407714844,39788.21081542969,Dahu18,147.092,134.4196311332084,optimized,test,UL,A,1,optimized,18270.26171875
11485,optimized_test_UL_A_1_10,1024.7296524047852,594.4771957397461,10504.49398803711,7766.299499511719,2019-08-05 10:33:46.484,2019-08-05 10:36:13.577,10,19890.00033569336,39780.00067138672,Dahu18,147.093,134.39189416009026,optimized,test,UL,A,1,optimized,18270.793487548828
11932,optimized_test_UL_A_1_11,1033.5406341552734,597.8497695922852,10564.706573486328,7814.269714355469,2019-08-05 10:36:16.581,2019-08-05 10:38:44.675,11,20010.366691589355,40020.73338317871,Dahu18,148.094,134.29776303080104,optimized,test,UL,A,1,optimized,18378.976287841797
12383,optimized_test_UL_A_1_12,1026.1877365112305,593.8624420166016,10487.964233398438,7770.48046875,2019-08-05 10:38:47.680,2019-08-05 10:41:14.771,12,19878.49488067627,39756.98976135254,Dahu18,147.091,134.31415459916397,optimized,test,UL,A,1,optimized,18258.444702148438
12831,optimized_test_UL_A_1_13,1026.3948516845703,596.0394744873047,10500.894012451172,7771.390319824219,2019-08-05 10:41:17.776,2019-08-05 10:43:44.855,13,19894.718658447266,39789.43731689453,Dahu18,147.079,134.42377471923828,optimized,test,UL,A,1,optimized,18272.28433227539
13281,optimized_test_UL_A_1_14,1025.7282791137695,596.216552734375,10500.925964355469,7770.482574462891,2019-08-05 10:43:48.860,2019-08-05 10:46:15.949,14,19893.353370666504,39786.70674133301,Dahu18,147.089,134.4145498018007,optimized,test,UL,A,1,optimized,18271.40853881836
13730,optimized_test_UL_A_1_15,1026.0858154296875,594.1249923706055,10497.958374023438,7774.206634521484,2019-08-05 10:46:18.953,2019-08-05 10:48:46.043,15,19892.375816345215,39784.75163269043,Dahu18,147.09,134.40794470503525,optimized,test,UL,A,1,optimized,18272.165008544922
14178,optimized_test_UL_A_1_16,1026.0819549560547,597.1583557128906,10500.675201416016,7766.744384765625,2019-08-05 10:48:49.047,2019-08-05 10:51:16.125,16,19890.659896850586,39781.31979370117,Dahu18,147.078,134.39635065439586,optimized,test,UL,A,1,optimized,18267.41958618164
14627,optimized_test_UL_A_1_17,1026.4333419799805,596.4175872802734,10502.00048828125,7769.128082275391,2019-08-05 10:51:20.129,2019-08-05 10:53:47.219,17,19893.979499816895,39787.95899963379,Dahu18,147.09,134.41878040416822,optimized,test,UL,A,1,optimized,18271.12857055664
15076,optimized_test_UL_A_1_18,1025.471420288086,598.0070419311523,10492.439147949219,7768.060852050781,2019-08-05 10:53:50.223,2019-08-05 10:56:17.315,18,19883.97846221924,39767.95692443848,Dahu18,147.092,134.35120582580566,optimized,test,UL,A,1,optimized,18260.5
15523,optimized_test_UL_A_1_19,1025.8633346557617,594.5750503540039,10496.804412841797,7764.3912353515625,2019-08-05 10:56:20.319,2019-08-05 10:58:47.399,19,19881.634033203125,39763.26806640625,Dahu18,147.08,134.3353650892103,optimized,test,UL,A,1,optimized,18261.19564819336
