,target,benchmark,Job,RAPL,Os,sensor
0,normal_normal_CG_B_1_1,CG,20132.133620424152,31677.468048095703,8270.524897678055,dahu-25
1,normal_normal_CG_B_1_10,CG,19384.8464429594,30671.106964111328,2695.4517509732677,dahu-25
2,normal_normal_CG_B_1_11,CG,17625.41861331788,29677.083099365234,11420.846748376829,dahu-25
3,normal_normal_CG_B_1_12,CG,20235.46497599853,31854.05615234375,4557.402597273513,dahu-25
4,normal_normal_CG_B_1_13,CG,20114.449608314022,31710.505310058594,4290.27627540626,dahu-25
5,normal_normal_CG_B_1_14,CG,19732.576210603496,31195.639099121094,3735.8289956186627,dahu-25
6,normal_normal_CG_B_1_15,CG,20257.93617909485,31712.092346191406,4646.058195499949,dahu-25
7,normal_normal_CG_B_1_16,CG,18219.45532988448,29828.139373779297,11441.337519088835,dahu-25
8,normal_normal_CG_B_1_17,CG,20493.243637035463,32099.386871337887,4382.522599262322,dahu-25
9,normal_normal_CG_B_1_18,CG,20450.42394335572,32086.255432128906,4262.621221557907,dahu-25
10,normal_normal_CG_B_1_19,CG,20068.026833864547,31534.418243408203,4782.192887665478,dahu-25
11,normal_normal_CG_B_1_2,CG,20261.788867006064,31820.48937988281,4566.394021938133,dahu-25
12,normal_normal_CG_B_1_20,CG,19966.569307589732,31503.140075683594,3315.2499331982153,dahu-25
13,normal_normal_CG_B_1_21,CG,20503.807390989066,32055.843383789062,4427.309443865084,dahu-25
14,normal_normal_CG_B_1_22,CG,17686.388974036967,29107.26992797852,10933.680711564943,dahu-25
15,normal_normal_CG_B_1_23,CG,17841.45491891868,29283.649658203125,11356.447129468921,dahu-25
16,normal_normal_CG_B_1_24,CG,19959.693593628766,31537.075958251957,3146.599072399744,dahu-25
17,normal_normal_CG_B_1_25,CG,17088.612665279958,28619.670562744137,11119.273305751572,dahu-25
18,normal_normal_CG_B_1_26,CG,19512.04182070093,30857.74810791016,3142.069791284327,dahu-25
19,normal_normal_CG_B_1_27,CG,17459.295770796492,29134.569488525387,11443.924364540493,dahu-25
20,normal_normal_CG_B_1_28,CG,19415.844395609143,30704.313812255863,2243.4247920358807,dahu-25
21,normal_normal_CG_B_1_29,CG,19301.802698341395,30623.898010253906,1426.4132782583943,dahu-25
22,normal_normal_CG_B_1_3,CG,20423.117491858167,32006.71484375,4637.500295629203,dahu-25
23,normal_normal_CG_B_1_30,CG,19037.59369248258,30204.917755126957,1426.0647692112293,dahu-25
24,normal_normal_CG_B_1_4,CG,17765.378196345133,29152.14813232422,11259.195330640807,dahu-25
25,normal_normal_CG_B_1_5,CG,20144.75226502934,31600.70526123047,4229.848840312095,dahu-25
26,normal_normal_CG_B_1_6,CG,20130.304040184667,31557.756011962887,4397.5273144554685,dahu-25
27,normal_normal_CG_B_1_7,CG,20232.362098720463,31762.736206054688,4105.111843930338,dahu-25
28,normal_normal_CG_B_1_8,CG,20364.24476804866,31911.870391845703,4210.728408041847,dahu-25
29,normal_normal_CG_B_1_9,CG,20277.339475287336,31791.199981689453,4200.652158241577,dahu-25
30,normal_normal_EP_B_1_1,EP,6665.880652135313,11321.041412353516,759.1301670723351,dahu-25
31,normal_normal_EP_B_1_2,EP,6898.19333338226,11418.81671142578,775.0921667498953,dahu-25
32,normal_normal_EP_B_1_3,EP,6947.5777014349605,11428.28680419922,726.3137476352078,dahu-25
33,normal_normal_EP_B_1_4,EP,5449.627886900299,9376.958862304688,3875.3019971246877,dahu-25
34,normal_normal_EP_B_1_5,EP,6229.255424564282,9553.887420654295,1039.6776333851649,dahu-25
35,normal_normal_LU_A_1_1,LU,9341.05829474121,17072.88165283203,1881.9568224935451,dahu-25
36,normal_normal_LU_A_1_10,LU,9591.062933083598,15824.03680419922,731.8754352603912,dahu-25
37,normal_normal_LU_A_1_11,LU,10158.124066152004,16533.032958984375,1451.3492176401278,dahu-25
38,normal_normal_LU_A_1_12,LU,5843.712137053833,10699.253295898438,4070.6042582295036,dahu-25
39,normal_normal_LU_A_1_13,LU,9601.408504537232,15684.198120117188,850.426719077031,dahu-25
40,normal_normal_LU_A_1_14,LU,10368.784827331516,16816.036376953125,1651.7661472856198,dahu-25
41,normal_normal_LU_A_1_15,LU,9412.941477823291,15972.327270507812,1183.9137713086639,dahu-25
42,normal_normal_LU_A_1_16,LU,6732.993864696111,11589.460083007812,4972.738324922673,dahu-25
43,normal_normal_LU_A_1_17,LU,9721.803005565642,15544.450286865234,736.0042330428141,dahu-25
44,normal_normal_LU_A_1_18,LU,9398.236971542763,15787.473449707031,790.7499902813706,dahu-25
45,normal_normal_LU_A_1_19,LU,10659.617994974906,17135.178588867188,2061.748033718915,dahu-25
46,normal_normal_LU_A_1_2,LU,10002.505878270842,17305.364471435547,2003.890615016315,dahu-25
47,normal_normal_LU_A_1_20,LU,8241.313349683425,14086.050598144531,5335.831965207864,dahu-25
48,normal_normal_LU_A_1_21,LU,10986.044682013371,17679.16812133789,2389.773720059683,dahu-25
49,normal_normal_LU_A_1_22,LU,11060.450419216755,17617.94403076172,2260.9019396133717,dahu-25
50,normal_normal_LU_A_1_23,LU,10958.461692707691,17498.742248535156,2334.603692947205,dahu-25
51,normal_normal_LU_A_1_24,LU,11041.530751628128,17663.109832763672,2240.3306938365413,dahu-25
52,normal_normal_LU_A_1_25,LU,10889.331003749012,17424.248779296875,2447.0174008985473,dahu-25
53,normal_normal_LU_A_1_26,LU,8196.65995007986,13757.782287597656,5505.170107064659,dahu-25
54,normal_normal_LU_A_1_27,LU,10797.894952027718,17284.7158203125,2770.814444196142,dahu-25
55,normal_normal_LU_A_1_28,LU,10953.77910375045,17547.07830810547,2462.7898193283,dahu-25
56,normal_normal_LU_A_1_29,LU,10846.155870083378,17452.040405273438,13316.447586668142,dahu-25
57,normal_normal_LU_A_1_3,LU,10289.180089272437,17516.545349121094,2070.3410220580536,dahu-25
58,normal_normal_LU_A_1_30,LU,11031.235051795049,17598.67007446289,10777.803581465767,dahu-25
59,normal_normal_LU_A_1_4,LU,9898.138892788684,16588.580932617188,966.8243615195952,dahu-25
60,normal_normal_LU_A_1_5,LU,9259.464985579238,15761.46044921875,533.5819052966431,dahu-25
61,normal_normal_LU_A_1_6,LU,9160.27093644914,15826.57763671875,614.2003048842989,dahu-25
62,normal_normal_LU_A_1_7,LU,4756.482606156989,12169.552337646484,3332.8495174479817,dahu-25
63,normal_normal_LU_A_1_8,LU,6505.610143092218,12055.204132080078,4663.096767790736,dahu-25
64,normal_normal_LU_A_1_9,LU,6832.176219851049,11668.282958984375,4818.814881470909,dahu-25
65,normal_normal_CG_B_1_1,CG,16748.247148731833,29393.476104736328,1890.6512306311706,dahu-27
66,normal_normal_CG_B_1_10,CG,17232.92638471682,30348.44744873047,1195.4669634826046,dahu-27
67,normal_normal_CG_B_1_11,CG,17384.50769886389,30623.3825378418,1234.7516899861516,dahu-27
68,normal_normal_CG_B_1_12,CG,17558.168023582486,30769.710479736328,1920.93151337027,dahu-27
69,normal_normal_CG_B_1_13,CG,17719.395224193653,30863.194610595703,1958.9146504786563,dahu-27
70,normal_normal_CG_B_1_14,CG,17748.854627278233,30796.58151245117,2058.0625898653952,dahu-27
71,normal_normal_CG_B_1_15,CG,17525.605457965255,30493.639434814453,1640.1977835619405,dahu-27
72,normal_normal_CG_B_1_16,CG,17757.105523674327,30990.369293212887,1721.561797734223,dahu-27
73,normal_normal_CG_B_1_17,CG,17311.160376061038,31141.08404541016,1985.2632660463714,dahu-27
74,normal_normal_CG_B_1_18,CG,17485.03897226361,30642.908935546875,1905.3270175880946,dahu-27
75,normal_normal_CG_B_1_19,CG,16445.40767040145,29940.48193359375,1811.4679074359694,dahu-27
76,normal_normal_CG_B_1_2,CG,15696.945858552524,28331.627410888672,12829.251447388931,dahu-27
77,normal_normal_CG_B_1_20,CG,17667.41683976259,30680.341064453125,2141.309243818204,dahu-27
78,normal_normal_CG_B_1_21,CG,17735.189896550783,30855.332183837887,1919.1402929354567,dahu-27
79,normal_normal_CG_B_1_22,CG,17521.815000027756,30491.320465087887,1915.4776975902641,dahu-27
80,normal_normal_CG_B_1_23,CG,15991.82722249113,29315.138336181637,12997.02522095872,dahu-27
81,normal_normal_CG_B_1_24,CG,17743.27773377924,30895.435333251957,2168.037690435038,dahu-27
82,normal_normal_CG_B_1_25,CG,17503.356132267356,30657.36584472656,1263.5387059480443,dahu-27
83,normal_normal_CG_B_1_26,CG,17414.832407664733,30534.09899902344,1144.4189849636448,dahu-27
84,normal_normal_CG_B_1_27,CG,15786.933889770207,28756.538726806637,12790.755062270566,dahu-27
85,normal_normal_CG_B_1_28,CG,17501.234861795754,30418.868255615234,2174.183056615871,dahu-27
86,normal_normal_CG_B_1_29,CG,17819.855622907402,30964.894195556637,2204.267612068256,dahu-27
87,normal_normal_CG_B_1_3,CG,17263.572280305394,30987.926513671875,1215.330281305059,dahu-27
88,normal_normal_CG_B_1_30,CG,15238.137457612085,28594.366088867188,12536.825632429796,dahu-27
89,normal_normal_CG_B_1_4,CG,17379.29797567236,30849.218414306637,1280.3395577464628,dahu-27
90,normal_normal_CG_B_1_5,CG,17471.993109584917,30631.077911376957,1116.3882694596502,dahu-27
91,normal_normal_CG_B_1_6,CG,17392.67954265112,30409.52557373047,950.0862163203566,dahu-27
92,normal_normal_CG_B_1_7,CG,17665.352171302817,30793.9208984375,1219.799414801136,dahu-27
93,normal_normal_CG_B_1_8,CG,17187.088655565494,29985.30017089844,1030.6810179039915,dahu-27
94,normal_normal_CG_B_1_9,CG,16762.99072156233,29470.756713867188,1272.9017594653556,dahu-27
95,normal_normal_EP_B_1_1,EP,5768.884554995165,11433.5458984375,999.9608814448914,dahu-27
96,normal_normal_EP_B_1_2,EP,6078.712801841909,11659.819213867188,1191.36782463221,dahu-27
97,normal_normal_EP_B_1_3,EP,5879.685071735478,11600.830596923828,1406.9437171764089,dahu-27
98,normal_normal_EP_B_1_4,EP,4818.099099748811,9139.589447021484,4245.579539126049,dahu-27
99,normal_normal_EP_B_1_5,EP,5940.3519851390665,11676.412292480469,1229.3953497531008,dahu-27
100,normal_normal_EP_B_1_6,EP,4665.772852028643,9106.31478881836,4222.861204220005,dahu-27
101,normal_normal_EP_B_1_7,EP,5523.746939150282,11184.993255615234,1216.5956622423487,dahu-27
102,normal_normal_EP_B_1_8,EP,5212.198615156533,10156.097412109377,1089.018808307384,dahu-27
103,normal_normal_LU_A_1_1,LU,6324.391504756402,15155.428466796875,470.16361283967603,dahu-27
104,normal_normal_LU_A_1_10,LU,9211.481049617509,16638.93441772461,662.6354381041604,dahu-27
105,normal_normal_LU_A_1_11,LU,9050.472858946334,16274.312286376953,664.3506451350988,dahu-27
106,normal_normal_LU_A_1_12,LU,9116.041716660691,16299.87078857422,531.8247680169841,dahu-27
107,normal_normal_LU_A_1_13,LU,6001.377481813003,11845.430938720703,5240.342231629214,dahu-27
108,normal_normal_LU_A_1_14,LU,8776.64914249126,15837.188110351562,551.8482663773098,dahu-27
109,normal_normal_LU_A_1_15,LU,7713.475990424876,13866.884857177734,507.2088885451588,dahu-27
110,normal_normal_LU_A_1_16,LU,8542.985079442253,15501.690155029297,492.7557509223801,dahu-27
111,normal_normal_LU_A_1_17,LU,9179.933391389504,16748.03012084961,582.9913279956411,dahu-27
112,normal_normal_LU_A_1_18,LU,9114.86976379479,16725.682647705078,599.0022228904345,dahu-27
113,normal_normal_LU_A_1_19,LU,9346.483816645405,16815.558074951172,655.5130341818118,dahu-27
114,normal_normal_LU_A_1_2,LU,8995.418320246454,16485.247283935547,653.1479443556551,dahu-27
115,normal_normal_LU_A_1_20,LU,9123.612419679504,16440.377075195312,591.3703555722542,dahu-27
116,normal_normal_LU_A_1_21,LU,9186.381007047014,16538.797302246094,627.3435422572527,dahu-27
117,normal_normal_LU_A_1_22,LU,8963.986483397566,16179.54312133789,555.5263588919795,dahu-27
118,normal_normal_LU_A_1_23,LU,9179.589389119908,16541.105377197266,593.2572684634937,dahu-27
119,normal_normal_LU_A_1_24,LU,8960.6525340814,16168.201873779297,533.5338979567298,dahu-27
120,normal_normal_LU_A_1_25,LU,8936.235119984245,16143.223449707031,509.53707434608197,dahu-27
121,normal_normal_LU_A_1_26,LU,5885.092741169719,11090.314880371094,5402.989182796438,dahu-27
122,normal_normal_LU_A_1_27,LU,9177.365024884944,16399.744750976562,715.2345019350872,dahu-27
123,normal_normal_LU_A_1_28,LU,8966.370596735043,16118.288146972656,693.5896449196933,dahu-27
124,normal_normal_LU_A_1_29,LU,5651.134792127639,10718.714141845705,4653.589156495271,dahu-27
125,normal_normal_LU_A_1_3,LU,4362.378297229143,10878.05047607422,8348.593952541458,dahu-27
126,normal_normal_LU_A_1_30,LU,7637.0863209702575,13702.59213256836,712.7511094441244,dahu-27
127,normal_normal_LU_A_1_4,LU,8678.92325809547,16059.95053100586,1264.1468954806885,dahu-27
128,normal_normal_LU_A_1_5,LU,9466.434853652958,16873.22427368164,1084.5139780641903,dahu-27
129,normal_normal_LU_A_1_6,LU,6182.510847007993,12287.333709716797,9672.61625247484,dahu-27
130,normal_normal_LU_A_1_7,LU,8182.086213943745,15020.25521850586,989.4404454341405,dahu-27
131,normal_normal_LU_A_1_8,LU,6102.706553849557,12218.493530273438,7869.444330317074,dahu-27
132,normal_normal_LU_A_1_9,LU,9398.956939208361,16729.895904541016,918.1056860262065,dahu-27
133,normal_normal_CG_B_1_1,CG,18376.496979529657,30757.81002807617,1936.2323910227246,dahu-28
134,normal_normal_CG_B_1_10,CG,18477.576495345696,31009.61499023437,1657.0795257011944,dahu-28
135,normal_normal_CG_B_1_11,CG,18803.892420096803,31316.748199462887,2115.215119977837,dahu-28
136,normal_normal_CG_B_1_12,CG,18617.089789937017,31126.33575439453,2139.427527234083,dahu-28
137,normal_normal_CG_B_1_13,CG,18678.11775143687,31160.643463134766,1976.0789013540725,dahu-28
138,normal_normal_CG_B_1_14,CG,16550.087395165647,29645.160797119137,12628.84389843522,dahu-28
139,normal_normal_CG_B_1_15,CG,18846.264435649482,31566.64715576172,1466.1748265374904,dahu-28
140,normal_normal_CG_B_1_16,CG,18592.985621431195,31015.313507080078,1629.8548925924447,dahu-28
141,normal_normal_CG_B_1_17,CG,18557.95164474616,31079.61846923828,1075.4583256572319,dahu-28
142,normal_normal_CG_B_1_18,CG,16668.861643242002,29630.005981445312,12843.363935598756,dahu-28
143,normal_normal_CG_B_1_19,CG,18929.192612421208,31535.34716796875,1389.6207785477966,dahu-28
144,normal_normal_CG_B_1_2,CG,18588.078666124118,30975.215667724613,1860.6302652036156,dahu-28
145,normal_normal_CG_B_1_20,CG,18571.958537818507,31205.425445556637,1154.6646736497423,dahu-28
146,normal_normal_CG_B_1_21,CG,18621.78099595125,31391.113983154297,1081.545822610795,dahu-28
147,normal_normal_CG_B_1_22,CG,18501.965355215056,31057.18365478516,852.9445109235328,dahu-28
148,normal_normal_CG_B_1_23,CG,16197.035449374373,28897.08251953125,12462.665560398806,dahu-28
149,normal_normal_CG_B_1_24,CG,18894.8183170787,31570.09405517578,1365.3951896758695,dahu-28
150,normal_normal_CG_B_1_25,CG,16589.580180942638,29546.883819580078,12564.962520190287,dahu-28
151,normal_normal_CG_B_1_26,CG,18640.313063770693,31128.149932861328,1268.631940045892,dahu-28
152,normal_normal_CG_B_1_27,CG,18482.794639149524,31096.734497070312,716.6687386764613,dahu-28
153,normal_normal_CG_B_1_28,CG,18431.16075089941,30979.79336547852,816.0937741943002,dahu-28
154,normal_normal_CG_B_1_29,CG,18731.75226827317,31334.65594482422,787.3033799601603,dahu-28
155,normal_normal_CG_B_1_3,CG,16322.290777156133,29126.873596191406,14837.531227797168,dahu-28
156,normal_normal_CG_B_1_30,CG,16464.084310479102,29348.44989013672,12506.690121369764,dahu-28
157,normal_normal_CG_B_1_4,CG,18573.820717609222,30918.812042236328,1774.95502581461,dahu-28
158,normal_normal_CG_B_1_5,CG,17883.369118178714,30163.07037353516,1085.8916457803125,dahu-28
159,normal_normal_CG_B_1_6,CG,18469.863815731256,30974.0,880.4061472164225,dahu-28
160,normal_normal_CG_B_1_7,CG,18662.83485723938,31224.320159912113,3170.1785901711946,dahu-28
161,normal_normal_CG_B_1_8,CG,18692.784079790552,31258.980377197266,943.4532299397359,dahu-28
162,normal_normal_CG_B_1_9,CG,18617.78218775782,31211.71850585937,1216.236381270465,dahu-28
163,normal_normal_EP_B_1_1,EP,7213.795543421613,11965.661895751953,196.1160586821261,dahu-28
164,normal_normal_EP_B_1_10,EP,6914.179202511157,11454.58447265625,306.49936680471427,dahu-28
165,normal_normal_EP_B_1_11,EP,7514.854070132347,11251.953063964844,289.02679570796363,dahu-28
166,normal_normal_EP_B_1_2,EP,4703.162673025056,8637.09765625,3742.6936769498275,dahu-28
167,normal_normal_EP_B_1_3,EP,6716.363404431759,11736.265869140625,273.71418641878597,dahu-28
168,normal_normal_EP_B_1_4,EP,7056.514877581534,11717.869903564453,261.54179530727833,dahu-28
169,normal_normal_EP_B_1_5,EP,7010.628346331123,11711.50765991211,346.1307741483138,dahu-28
170,normal_normal_EP_B_1_6,EP,7014.613644106049,11653.862060546875,255.16770528145904,dahu-28
171,normal_normal_EP_B_1_7,EP,7132.7277515772885,11771.977813720703,223.28640473314758,dahu-28
172,normal_normal_EP_B_1_8,EP,7055.733802649716,11731.57000732422,301.69477240302876,dahu-28
173,normal_normal_EP_B_1_9,EP,4694.391780416393,8616.769226074219,3900.9323349196866,dahu-28
174,normal_normal_LU_A_1_1,LU,5083.072562989217,13514.564544677734,357.00675251075626,dahu-28
175,normal_normal_LU_A_1_10,LU,9411.677995730402,16233.209045410156,872.6310452123635,dahu-28
176,normal_normal_LU_A_1_11,LU,9758.167772833314,16852.431671142578,731.1697175629313,dahu-28
177,normal_normal_LU_A_1_12,LU,9791.202823671752,16754.21646118164,844.3489186535902,dahu-28
178,normal_normal_LU_A_1_13,LU,9806.021463073594,16875.638061523438,893.3074031429843,dahu-28
179,normal_normal_LU_A_1_14,LU,9925.452205182588,16928.803802490234,717.5473242670207,dahu-28
180,normal_normal_LU_A_1_15,LU,9872.447668131475,16890.341705322266,770.3963367206791,dahu-28
181,normal_normal_LU_A_1_16,LU,9848.232198385656,16858.11685180664,759.184882531709,dahu-28
182,normal_normal_LU_A_1_17,LU,9972.79070463749,17000.099487304688,742.6905181984346,dahu-28
183,normal_normal_LU_A_1_18,LU,10032.645326845317,17095.619720458984,779.1452088514542,dahu-28
184,normal_normal_LU_A_1_19,LU,10043.951456176723,17098.91680908203,793.1907623808233,dahu-28
185,normal_normal_LU_A_1_2,LU,9146.018847531315,16261.681274414062,650.8500908799695,dahu-28
186,normal_normal_LU_A_1_20,LU,9702.393966918984,16703.049560546875,660.2125344005437,dahu-28
187,normal_normal_LU_A_1_21,LU,6947.490558000247,12684.11083984375,5438.646726264523,dahu-28
188,normal_normal_LU_A_1_22,LU,9293.662585568298,16208.369689941406,799.9624363627182,dahu-28
189,normal_normal_LU_A_1_23,LU,7539.947904818919,13313.91571044922,644.3287258662541,dahu-28
190,normal_normal_LU_A_1_24,LU,7753.741570358262,13682.445861816406,633.6316133854381,dahu-28
191,normal_normal_LU_A_1_25,LU,6145.332595484295,10978.058502197266,4721.22188401707,dahu-28
192,normal_normal_LU_A_1_26,LU,8633.7259526552,14884.516540527344,839.2240531384746,dahu-28
193,normal_normal_LU_A_1_27,LU,8694.171602146936,15247.54443359375,1052.9504428833775,dahu-28
194,normal_normal_LU_A_1_28,LU,9922.464377620288,17073.539337158203,2157.069389905724,dahu-28
195,normal_normal_LU_A_1_29,LU,9958.049100680622,17129.651763916016,1092.2474690732713,dahu-28
196,normal_normal_LU_A_1_3,LU,9733.625849587144,16842.195861816406,747.0315988252572,dahu-28
197,normal_normal_LU_A_1_30,LU,9845.971256871895,17114.153228759766,1071.147551051735,dahu-28
198,normal_normal_LU_A_1_4,LU,5533.146931910563,11022.70248413086,4616.293167356262,dahu-28
199,normal_normal_LU_A_1_5,LU,9536.867598595214,16560.685668945312,507.4211819524397,dahu-28
200,normal_normal_LU_A_1_6,LU,9790.015530718443,16790.98193359375,494.6681361612466,dahu-28
201,normal_normal_LU_A_1_7,LU,9692.209485215171,16595.854217529297,608.3033817810655,dahu-28
202,normal_normal_LU_A_1_8,LU,8876.864690774437,15608.595001220703,916.6186975301464,dahu-28
203,normal_normal_LU_A_1_9,LU,8204.773921937109,14516.327697753906,893.8904476068549,dahu-28
