,Job,Os,RAPL,benchmark
0 CG,1064.1421631443975,4030.4623154752285,955.0123109143125,CG
0 EP,905.4089550651495,1518.3136615378999,1219.1046437730397,EP
0 LU,1499.3516283892905,1092.1077173824274,1449.7339292996812,LU
1 CG,1037.2374925923364,3742.5249844781197,793.3108156636189,CG
1 EP,879.9470116273261,1436.8687574932899,1122.471839197476,EP
1 LU,1197.9348431535434,2201.2158512549763,1406.2972738210021,LU
2 CG,1297.1119623942889,3464.5964998679865,841.4007534052206,CG
2 EP,906.1604931745628,1492.94706503975,1144.058403881183,EP
2 LU,678.1445358133291,2884.7158591657267,809.1881349463945,LU
3 CG,1298.8277306575783,4240.274637030882,916.6330286933312,CG
3 EP,1002.593393522579,1388.653922972598,1272.700148911333,EP
3 LU,1509.320754144009,3201.4837057244877,1485.513495710933,LU
4 CG,1031.5317835148555,5439.431112996194,1002.2175094067205,CG
4 EP,902.2679331503147,1558.5773051042738,1219.9079259719606,EP
4 LU,1608.8223064233548,3480.267546655054,1832.0242912126264,LU
5 CG,1139.0949090335073,4158.752576393531,870.043353050999,CG
5 EP,1044.5756078321165,1608.8963751495162,1093.8329946098454,EP
5 LU,1628.271363741183,3071.054103733316,2355.4099149544463,LU
6 CG,1358.3994146371683,4204.742344962777,1001.2038105057472,CG
6 EP,706.2431222414731,1274.8838650759765,1019.2828367590243,EP
6 LU,866.3647619005482,1722.933804798778,1228.3288685011892,LU
7 CG,1264.7463053134363,2516.557976378671,784.7765626377269,CG
7 EP,823.2309754448734,1274.975682731773,1040.1537334528903,EP
7 LU,1555.327448332395,3615.1338270201377,1794.2121899501815,LU
8 CG,1109.2822362443603,4038.1430760496314,732.7005337114402,CG
8 EP,808.004789972174,1059.7287969213826,942.4608700511365,EP
8 LU,1363.079819024005,2164.8271512955525,1815.4714529301957,LU
9 CG,1235.2717539459327,3031.093840087362,821.0902915367203,CG
9 EP,937.8389889046897,1427.1795131764122,1014.1580190399775,EP
9 LU,1810.5408412473578,1553.474950010706,2139.4325741186467,LU
10 CG,1205.326906774954,4783.343786518266,847.5536027848756,CG
10 EP,963.0406813574323,1598.3395698767,1173.5499661012045,EP
10 LU,958.1722532814615,1353.196970366669,1491.8512186976504,LU
11 CG,1175.1414774922584,2544.9002430633236,602.7846806971322,CG
11 EP,881.4736459125648,1404.8655409594944,1051.8004304986468,EP
11 LU,1416.1226136339249,1599.6578609747135,1765.64579162641,LU
12 CG,1132.7751931713437,3286.4309501581624,726.60056804838,CG
12 EP,859.9679847533954,1231.7883586256821,1042.2405408973962,EP
12 LU,1530.0391107531527,1666.6942911348344,2012.8151404280595,LU
13 CG,1178.6967857007214,4980.596999340068,1006.5430011034733,CG
13 EP,1020.7465901674672,1570.946773718323,1207.4043454631108,EP
13 LU,1040.0964036560529,2356.986178633975,1445.7518189623406,LU
14 CG,1177.6383191143982,4328.045517458791,745.3470177412364,CG
14 EP,713.3503319784829,1052.7593196430844,940.0393179931474,EP
14 LU,1474.9962557864935,2998.520844943994,2029.0091148094484,LU
15 CG,1080.2114368987386,2791.508943463603,596.3152557411053,CG
15 EP,919.4652038422371,1656.0868879936756,1212.2239028924225,EP
15 LU,1706.7478194529488,3016.747994495693,2318.0558965106065,LU
16 CG,1389.2272888393356,4563.714779303101,944.305511995096,CG
16 EP,912.8968053384895,1295.8838688853155,1163.4078264685636,EP
16 LU,1088.827014702489,1318.9495281813079,1518.262784186216,LU
17 CG,1192.121707633526,4268.35581126068,909.8551888497066,CG
17 EP,761.6031266061572,1092.218662525948,957.6881625079282,EP
17 LU,1205.86879780611,3041.7679385236556,1720.3260943740788,LU
18 CG,1154.9107944479656,4262.165997733486,818.3741827489854,CG
18 EP,879.8083738556104,1475.8527147640855,1161.040648153031,EP
18 LU,863.6227171377997,2319.563693730501,986.7177008809582,LU
19 CG,1213.7382893924212,3989.5542126902506,955.1489723204359,CG
19 EP,996.763719086648,1355.4447340138943,1044.5468363368295,EP
19 LU,1225.514562931085,944.0850927028301,1493.840079082962,LU
20 CG,1036.6041993177569,3057.5664861763357,782.5631294413624,CG
20 EP,732.1032111740618,902.6916210321185,938.7528191381236,EP
20 LU,1671.594345079369,2498.7253131617244,2350.825679473306,LU
21 CG,1152.3977520070096,2309.3008615178496,807.4427773067571,CG
21 EP,1010.9137197476558,1479.8647809266324,1164.3324499290018,EP
21 LU,1807.8645967507696,3036.054204287263,2329.99862144317,LU
22 CG,998.3686587479754,2442.25357179723,582.9488813417848,CG
22 EP,883.5029517788987,1082.4397530623983,1048.187811095214,EP
22 LU,1726.9087239880168,2863.3760970876215,1716.3724733857687,LU
23 CG,607.7776555898251,2255.7177795125904,585.8949827781673,CG
23 EP,940.9287120102211,1587.9946217349734,1213.2588558555083,EP
23 LU,1722.9314999861274,1750.3521520006964,2314.9373311213544,LU
24 CG,1599.3722222671554,4805.231721563777,1228.9705724145954,CG
24 EP,812.0989240091169,1095.3748246970085,836.8152287788294,EP
24 LU,1779.2584591092057,3433.4347918354056,2140.99455362118,LU
25 CG,1191.2880958174323,4365.786425550591,853.6608181028885,CG
25 EP,943.7955742927453,1481.4434481907822,1273.6358469551667,EP
25 LU,1566.5651033567922,3584.1733273267278,2144.4108607331,LU
26 CG,1161.9867615152762,3628.480100836794,707.4017740265366,CG
26 EP,946.7008091615855,1512.6442890225312,1272.418191383207,EP
26 LU,1503.326801122831,2386.0981243544547,2278.5244661158135,LU
27 CG,1181.2937793215613,3812.1277677359994,799.696932909775,CG
27 EP,1078.2522029448703,1619.8155639870097,1275.8695106811997,EP
27 LU,1085.192463028782,2523.0347863792063,1452.8019123145457,LU
28 CG,1087.7784135963204,4383.7870434125725,918.939554124327,CG
28 EP,785.6144546418637,1351.2077635611133,1013.7312184552355,EP
28 LU,1757.5735749356775,3350.854398450296,2301.348581482883,LU
29 CG,1185.8829484700807,3679.6583480200593,816.716677278161,CG
29 EP,866.7915102467341,1124.7965760680001,968.8452205660365,EP
29 LU,1149.58095085826,1671.054252890008,1559.1100000879226,LU
30 CG,1364.2686543734817,4563.83876206536,1008.0294549852761,CG
30 EP,839.5076452722074,1381.8282851087681,1267.5795397165077,EP
30 LU,2032.4697663925124,2431.2122522027216,2423.0096068074763,LU
31 CG,939.2320571039693,1061.8468784251975,535.6339452835151,CG
31 EP,901.5268522512525,1414.5859467857413,1143.622016613432,EP
31 LU,1477.8547479354197,3003.061005252342,2135.690078882959,LU
32 CG,1102.4708301175738,3665.2621366337175,805.128837658129,CG
32 EP,773.7570744392245,1405.4586534860996,1099.7367110153118,EP
32 LU,1540.3324236931912,1628.4618638635513,1760.516984588647,LU
33 CG,1089.8789112633558,4017.9489449722264,767.3195193911444,CG
33 EP,1030.7456742555207,1556.954673909761,1150.2728517859,EP
33 LU,1150.5119958691635,1571.9702522583534,1655.9962521227537,LU
34 CG,1350.8071000188177,4442.096064328509,1049.153475859693,CG
34 EP,966.4159007265197,1608.1423817854227,1092.1887837990394,EP
34 LU,1212.2522062940243,2557.2194792260193,1440.8441436171192,LU
35 CG,1315.3147720702923,4061.2962158417945,875.9470982854536,CG
35 EP,911.2607860498845,1434.8399337931644,1143.2487564044684,EP
35 LU,1276.2605474062175,1719.6915104126317,1391.451334250541,LU
36 CG,1170.5692652938415,4759.131107546707,827.8051323556133,CG
36 EP,917.7467626530766,1352.0488753938228,1072.1958266049176,EP
36 LU,1524.9626734837234,2472.071702287746,1832.0182084905587,LU
37 CG,1361.060620127825,4033.4057158870223,1063.29127556295,CG
37 EP,810.2520966512433,1505.481399181459,1181.979487755663,EP
37 LU,1382.250271236044,1480.2772057589243,1994.2578011326839,LU
38 CG,1155.931007604288,4744.132595829578,765.6898068966416,CG
38 EP,933.3282819261814,1457.4936712393235,1256.370143512818,EP
38 LU,1546.4225739045098,2729.8812074776743,2218.017149363478,LU
39 CG,1290.825719222202,4319.558251219986,960.1798538096219,CG
39 EP,889.9399057966885,1606.2072588268034,1199.775541197021,EP
39 LU,2132.1011683797165,3009.354579404142,2337.6325113738017,LU
40 CG,1555.470880562113,4604.597370211933,1196.6470032660811,CG
40 EP,938.9135168293836,1448.2437946242926,1099.5277711739109,EP
40 LU,1856.1041781404745,3670.5494630716125,2156.52260929177,LU
41 CG,1236.2423977476517,4017.8033358875714,964.158788765208,CG
41 EP,904.1116326995588,1339.0662812213454,990.227735420689,EP
41 LU,1737.1422681489955,1477.4910300236988,2137.5444058532375,LU
42 CG,1562.2728492793083,4153.858953259548,1066.651508591349,CG
42 EP,889.3398798099585,1494.1156093143984,1159.4032140476538,EP
42 LU,2087.4957966420397,2079.6609854442136,2255.7061593630765,LU
43 CG,1229.7164015534238,3901.685271903667,875.9250023530291,CG
43 EP,777.9089032220425,1087.0973202435098,986.9750175067031,EP
43 LU,1989.3843165084488,2280.35925547995,2387.166216410636,LU
44 CG,1098.3490570881224,3026.4399647165046,653.0232518216217,CG
44 EP,868.3545470540232,1446.9713921125156,1227.6245676431458,EP
44 LU,861.8220401111872,631.063279263605,1019.7410253173737,LU
45 CG,1264.815462455205,5185.400046655733,901.5413596906444,CG
45 EP,695.6902884630889,1124.35945619181,833.5053570358498,EP
45 LU,1357.0003456815564,3076.168034800084,1883.0271313702083,LU
46 CG,1133.012787214945,4055.36909327733,930.0686310827545,CG
46 EP,693.6443153593881,400.27105839784247,554.1930228227681,EP
46 LU,1502.9814705317408,1562.1471085801288,2039.3477945854238,LU
47 CG,1358.283347943923,4009.8382224065804,1010.3346036451198,CG
47 EP,825.204113620596,1105.773421318068,953.9244689352395,EP
47 LU,1785.4945523522767,4112.241310214004,2305.678200004136,LU
48 CG,1489.5911085072396,4904.810370378044,1089.4617933583568,CG
48 EP,964.8784142259794,1745.4553240154603,1265.7951171228908,EP
48 LU,892.1857345549906,1460.2216710245889,1419.3090714035293,LU
49 CG,1448.112750499726,4061.9579952511253,901.3118972688989,CG
49 EP,863.5036051815365,1537.8840901669225,1300.7048699856869,EP
49 LU,1257.4664494893193,3422.867110181098,1672.2592432150702,LU
50 CG,1241.991375350288,2793.058141364655,657.216907482761,CG
50 EP,862.8235215805322,1269.7887135519368,1130.8902136093645,EP
50 LU,1711.4813913544222,2103.4185124846645,2320.4215057057922,LU
51 CG,1595.6208579317622,4881.219423732902,1073.1957608020289,CG
51 EP,743.5787013049584,1174.411142299025,795.8530220436855,EP
51 LU,1211.7863624664753,1643.002560135304,1889.5291222755422,LU
52 CG,1122.2107169900403,3690.418157846753,759.5303741129336,CG
52 EP,918.3943223797909,1475.3957848164266,1095.5190750749327,EP
52 LU,1928.6515959793405,1349.1506831724219,2167.8014356785993,LU
53 CG,1257.3673851210262,3914.681251064954,821.4579784631501,CG
53 EP,987.7377674952301,1537.433780153986,1217.7266542075208,EP
53 LU,1772.8350281171058,3257.698249056135,2415.0317683140156,LU
54 CG,1195.0858487882901,4547.644274681675,963.0609046528157,CG
54 EP,828.4841625054164,1231.338619865993,1240.1545133001007,EP
54 LU,1775.7200028082107,3017.4543088855435,1890.5853678392816,LU
55 CG,1420.121285918555,3277.5153195898165,946.8239186976065,CG
55 EP,864.2465519013675,1279.8908270249626,1134.5058775716384,EP
55 LU,1746.9278381396066,2673.259338644098,2351.9067810191405,LU
56 CG,1323.1085325647853,3949.0917077613203,839.3918910354839,CG
56 EP,986.1793710809637,1336.375780681128,1129.3516146606587,EP
56 LU,1340.7378424381188,3714.187728230001,1843.110618246362,LU
57 CG,1234.677266406027,3953.233078712887,901.2485046457393,CG
57 EP,918.7942519785914,1479.7940077764606,1209.7583472198337,EP
57 LU,1546.6306842939,2620.8605233217613,1861.6074632769185,LU
58 CG,1283.7688378119672,2578.3844532354074,723.8561992660307,CG
58 EP,793.2213468240582,1115.4459788543293,962.7556368277468,EP
58 LU,1233.4741243288718,2012.9358091984336,1435.0406839997208,LU
59 CG,1198.6075004110614,3923.5260699169166,920.7818967965569,CG
59 EP,984.831573268973,1692.9389993674895,1175.6104008750133,EP
59 LU,1287.507922117595,1933.7932263317293,1763.1893074952948,LU
60 CG,1168.3133008067077,4608.115722052871,952.6825426925848,CG
60 EP,776.1927429687291,1173.9379301758745,1120.7634119164134,EP
60 LU,1721.1195530539176,1997.8876011100224,2030.4813670082558,LU
61 CG,1635.8363032195832,4528.2448910822295,1158.677804168031,CG
61 EP,1023.7844059120187,1523.468982945967,1063.5167108665041,EP
61 LU,1492.776833090469,2547.591962086096,2101.447617611478,LU
62 CG,1032.368243365296,4501.152722136651,737.6101478367444,CG
62 EP,990.252001162045,1523.2007870756909,1222.512637711508,EP
62 LU,1085.6501813937543,2606.768375683114,1437.4496093698403,LU
63 CG,1360.5783258051054,4386.9209649687955,1143.2218244745945,CG
63 EP,830.6973571523255,1338.09958090619,976.3748670971137,EP
63 LU,1645.2359363307478,2254.699929902976,1817.9330442037515,LU
64 CG,1420.02193739815,4624.814278027133,1001.7921586125548,CG
64 EP,838.3186497415082,1230.774142934524,822.1073821749395,EP
64 LU,1637.9545937523778,2215.68919864962,2186.910488826664,LU
65 CG,1223.5902866498984,4067.980839659477,943.7716998617033,CG
65 EP,916.7020002352548,1291.0494484989993,1019.2931874977636,EP
65 LU,1553.0740361187425,2070.0623937082264,1891.0666874480428,LU
66 CG,1489.6204157118343,4577.3265626766615,950.6724099003906,CG
66 EP,893.653899298787,1669.6540121899316,1206.6530350334967,EP
66 LU,1518.5721886676092,1598.2590391457195,2026.4203082382514,LU
67 CG,1324.074140340206,3579.6153819950787,997.762666745863,CG
67 EP,822.0045960788706,1308.7363533325865,1140.3199050907317,EP
67 LU,1775.2040794807492,1691.1694369924426,1944.3540688958726,LU
68 CG,1402.173999499097,3413.0613528098806,932.933069704817,CG
68 EP,1007.9925935766578,1603.168593416773,1197.0836851887786,EP
68 LU,1437.640770054191,4392.010509280029,1947.1986291338087,LU
69 CG,1260.3044442329299,3610.87898312979,922.7520652868544,CG
69 EP,1024.9052943347265,1692.4110546216932,1207.4877008561398,EP
69 LU,1023.3355431499589,3548.1896388218574,1178.2077669404077,LU
70 CG,1416.1512327543587,4032.520004159998,898.4445119937496,CG
70 EP,894.8291785105603,1488.0430927874193,1090.0854550599895,EP
70 LU,1149.2160845824567,1705.5054360374131,1389.9738264252992,LU
71 CG,1140.8874407239075,3855.4234674126374,895.5421256498643,CG
71 EP,944.080713075031,1243.486389699918,1137.8599983921163,EP
71 LU,1806.151568057337,3201.5866707827636,2061.6485394072092,LU
72 CG,1227.157873017865,3084.6816884980317,764.6553299731962,CG
72 EP,902.1873353912493,1087.6775255703342,1066.4680858340168,EP
72 LU,1782.462218266579,2411.8053157389577,2097.125875677646,LU
73 CG,1257.6469364621462,4587.8905699465995,963.9630979728992,CG
73 EP,930.7724331205632,1434.9537773829145,1103.7237655987535,EP
73 LU,1709.5580703707406,2851.17260435622,1899.8087701932116,LU
74 CG,1091.9204622681204,1343.5083363052297,570.1301806394042,CG
74 EP,925.9235920547361,1572.4823127738766,1187.017928421396,EP
74 LU,1276.71782206169,1735.3168218393603,1751.2841820406918,LU
75 CG,1349.9854647100428,4080.5826453704094,819.5264065413152,CG
75 EP,833.3588009793217,1350.698045853488,920.0724847768428,EP
75 LU,1311.9718780346254,2431.318472047465,1792.6785307611972,LU
76 CG,1134.0123970990198,3998.748777496312,640.8919164564761,CG
76 EP,877.2633365898439,1255.668765785253,1148.060613120849,EP
76 LU,1810.9621043329064,2205.30656837713,2027.8515113735855,LU
77 CG,1515.7531857540694,3679.2892299509695,1037.309829279788,CG
77 EP,781.3639509923341,1353.0259429966168,1183.257426036026,EP
77 LU,1576.5580194835043,1830.5147094965375,1609.8361367369703,LU
78 CG,848.0912245623169,2997.0941223862424,710.7038376956906,CG
78 EP,932.0560111982553,1485.853959900674,1042.9973713840702,EP
78 LU,1873.7089365433162,2787.289973757983,2282.7961958720502,LU
79 CG,944.2075881646092,856.930530690846,422.6879235308358,CG
79 EP,808.0583577477446,1297.8630325768427,1057.0994338313749,EP
79 LU,1600.854285770205,2785.27930986494,1877.458120499203,LU
80 CG,1092.477950827602,3758.4523230841787,781.4030378280017,CG
80 EP,966.7934285111905,1518.2956356701297,1263.5610303552096,EP
80 LU,1783.3318143759059,2591.498601929475,2131.635863826224,LU
81 CG,913.9982816639201,3371.468545996518,800.5734059210308,CG
81 EP,851.0007399706286,1433.6152862156182,1091.8518686145906,EP
81 LU,1453.575774032723,1755.3595895522092,2182.3937809978866,LU
82 CG,1409.7774201378036,3736.078452457294,912.3660192076037,CG
82 EP,834.2128516076914,1397.6874892651156,1225.8199200821507,EP
82 LU,1414.9852467586159,2740.9316043030067,1768.1507220136132,LU
83 CG,1085.7021275780205,1351.9955384050024,588.7007300447833,CG
83 EP,965.1950730626475,1472.8419410878557,1190.504667434869,EP
83 LU,2145.2205337176124,3440.479956847445,2595.6991733837526,LU
84 CG,1223.7030400810663,4523.123768714381,845.628316790925,CG
84 EP,830.8339162792001,1503.7914157077387,1276.5104927233222,EP
84 LU,1267.6236218723034,1159.287005988808,1297.5684584293442,LU
85 CG,1482.7089936899752,4425.59567555109,1059.2004356922205,CG
85 EP,964.156192215542,1637.5930528367332,1208.3053725788413,EP
85 LU,828.4629491137808,1529.7154652449258,1209.9982266819113,LU
86 CG,1298.9577381037934,3556.3561561409897,866.8734359220779,CG
86 EP,823.1336807977355,1328.7420770107121,1148.2976379014856,EP
86 LU,1744.0937912665092,2680.0971893435044,2258.0901387417043,LU
87 CG,1343.0437668038603,4019.406462041439,958.2262931277094,CG
87 EP,913.9981823641147,1485.0040976971418,1125.231658875505,EP
87 LU,1771.4476866822986,3391.817454501665,2361.07984840306,LU
88 CG,1179.3387860344508,3201.9325059352996,785.5202628649433,CG
88 EP,838.1007344823744,1230.8857607112034,1077.2096261906738,EP
88 LU,1724.5524375095222,3491.6760184668883,1730.3992023081846,LU
89 CG,1465.07312955284,4520.526295479027,1155.1782679832513,CG
89 EP,980.492990322411,1523.552895298851,1105.1439281563094,EP
89 LU,1593.842791184721,1696.4708683289907,2327.254788516172,LU
90 CG,1256.3658947915726,4075.573430435333,891.783671624798,CG
90 EP,862.1643775201627,874.5186428893834,806.3785226676197,EP
90 LU,1624.2776246646317,3035.922181478599,1977.152236274116,LU
91 CG,1374.6238316171896,4044.978835391679,938.2940227678803,CG
91 EP,896.6962148340714,1330.472775361808,996.0879945583604,EP
91 LU,1072.3419559861402,837.8690471334522,1510.8384608902209,LU
92 CG,1358.9989150675099,3944.856192353574,932.7651105632849,CG
92 EP,674.4275643052041,917.4288190923639,849.7683724039359,EP
92 LU,1509.4068426061374,2417.552806333745,1650.928266675234,LU
93 CG,1214.677880915853,4561.949067405925,733.340656580869,CG
93 EP,911.2469416906479,1271.2291568087323,1073.929675492598,EP
93 LU,1685.6892327284497,2292.8462677572797,2258.456724628983,LU
94 CG,1120.9558661151573,3406.589284857753,692.8080705200524,CG
94 EP,702.8872744866375,900.8829821744023,733.6443433588441,EP
94 LU,967.9173054780996,747.2866371808421,1186.5138692820437,LU
95 CG,1329.8352326181155,4225.239393877327,930.5338237187469,CG
95 EP,944.7181514043741,1432.1676002156905,1163.1944012810875,EP
95 LU,1483.478045622954,2122.510548034218,1852.8978686416688,LU
96 CG,1300.9986715975026,4811.629616997886,984.7788029201278,CG
96 EP,885.4408363097316,1618.8639024503307,1210.8983796521954,EP
96 LU,1421.4641340726387,2949.1760760939605,1862.3205632045385,LU
97 CG,1202.2278942324965,4667.945317133673,845.3987689236868,CG
97 EP,881.2522241640984,1369.08283244022,1219.3418488156353,EP
97 LU,2104.4528259301565,4000.1504221610094,2268.8490499303794,LU
98 CG,1414.778023714097,4843.317738146422,1021.9591224628969,CG
98 EP,931.4659323556955,1498.037104552181,1159.139344762521,EP
98 LU,1639.8390232671704,1582.217871378363,2226.9037909209574,LU
99 CG,1030.1762954350709,5282.992807627575,979.960559905348,CG
99 EP,1031.0452160111229,1544.8378342239507,1256.7715991973103,EP
99 LU,1786.5456179541561,3372.127247681945,2298.265454807581,LU
